"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.510037700E-2,-1.817322709E-2,-1.450803876E-2,1.069013379E-3,2.327857730E-2
2.725678300E-2,-1.939495653E-2,-1.817322709E-2,-1.527161949E-4,2.657919946E-2
2.941058500E-2,-1.817322709E-2,-1.817322709E-2,-1.527161949E-4,2.570127794E-2
3.156574200E-2,-1.206457894E-2,-9.621120058E-3,-1.374445739E-3,1.549222764E-2
3.372084600E-2,-8.399390616E-3,-9.621120058E-3,1.069013379E-3,1.281633737E-2
3.587595000E-2,-4.734201822E-3,-8.399390616E-3,1.069013379E-3,9.700784464E-3
3.803105400E-2,1.374445739E-3,1.527161949E-4,-1.527161949E-4,1.391310735E-3
4.018615800E-2,9.926552884E-3,7.483093534E-3,-1.527161949E-4,1.243207397E-2
4.234126200E-2,1.114828233E-2,8.704823442E-3,-1.374445739E-3,1.421081458E-2
4.449636700E-2,1.481347065E-2,1.359174121E-2,-1.527161949E-4,2.010466772E-2
4.665147100E-2,1.359174121E-2,1.114828233E-2,-1.527161949E-4,1.757961747E-2
4.880657500E-2,1.359174121E-2,1.114828233E-2,-1.527161949E-4,1.757961747E-2
5.096167900E-2,1.359174121E-2,7.483093534E-3,-1.527161949E-4,1.551629596E-2
5.311678300E-2,9.926552884E-3,8.704823442E-3,1.069013379E-3,1.324587456E-2
5.527194000E-2,6.261364091E-3,3.817904973E-3,1.069013379E-3,7.411063910E-3
5.742699200E-2,2.596175298E-3,-8.399390616E-3,1.069013379E-3,8.856222586E-3
5.958214800E-2,-2.290742937E-3,-4.734201822E-3,1.069013379E-3,5.366838893E-3
6.173720000E-2,-5.955931731E-3,-8.399390616E-3,1.069013379E-3,1.035208554E-2
6.389230400E-2,-8.399390616E-3,-8.399390616E-3,-1.527161949E-4,1.187951378E-2
6.604746000E-2,-1.084284950E-2,-8.399390616E-3,-1.374445739E-3,1.378427543E-2
6.820256500E-2,-1.084284950E-2,-7.177661173E-3,-1.527161949E-4,1.300421191E-2
7.035766900E-2,-9.621120058E-3,-1.069013379E-3,-1.527161949E-4,9.681532059E-3
7.251277300E-2,-7.177661173E-3,3.817904973E-3,-1.527161949E-4,8.131330797E-3
7.466787700E-2,-5.955931731E-3,-1.069013379E-3,1.069013379E-3,6.144810981E-3
7.682298100E-2,1.527161949E-4,6.261364091E-3,-1.527161949E-4,6.265087769E-3
7.897808500E-2,1.374445739E-3,1.374445739E-3,1.069013379E-3,2.218330855E-3
8.113319000E-2,3.817904973E-3,2.596175298E-3,-1.527161949E-4,4.619507203E-3
8.328829400E-2,7.483093534E-3,5.039634649E-3,-1.374445739E-3,9.125990758E-3
8.544345000E-2,9.926552884E-3,2.596175298E-3,-1.374445739E-3,1.035208575E-2
8.759855400E-2,9.926552884E-3,2.596175298E-3,-1.527161949E-4,1.026157398E-2
8.975365800E-2,6.261364091E-3,-3.512472380E-3,-1.527161949E-4,7.180909743E-3
9.190876200E-2,5.039634649E-3,-2.290742937E-3,1.069013379E-3,5.638103422E-3
9.406386700E-2,3.817904973E-3,-1.069013379E-3,1.069013379E-3,4.106333838E-3
9.621897100E-2,2.596175298E-3,-2.290742937E-3,-1.527161949E-4,3.465681985E-3
9.837407500E-2,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
1.005291790E-1,-1.069013379E-3,-3.512472380E-3,1.069013379E-3,3.824008555E-3
1.026842830E-1,-3.512472380E-3,-4.734201822E-3,-1.374445739E-3,6.053034793E-3
1.048393870E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
1.069944920E-1,-2.290742937E-3,3.817904973E-3,-1.527161949E-4,4.455022315E-3
1.091495960E-1,-4.734201822E-3,-3.512472380E-3,-1.527161949E-4,5.896901843E-3
1.113047000E-1,-3.512472380E-3,1.527161949E-4,1.069013379E-3,3.674720950E-3
1.134598040E-1,-3.512472380E-3,-4.734201822E-3,-1.527161949E-4,5.896901843E-3
1.156149080E-1,-2.290742937E-3,-1.069013379E-3,-1.527161949E-4,2.532511608E-3
1.177700120E-1,1.527161949E-4,-1.069013379E-3,1.069013379E-3,1.519506974E-3
1.199251170E-1,1.374445739E-3,1.527161949E-4,-1.527161949E-4,1.391310735E-3
1.220802210E-1,2.596175298E-3,2.596175298E-3,1.069013379E-3,3.824008625E-3
1.242353770E-1,1.374445739E-3,-4.734201822E-3,-1.527161949E-4,4.932047265E-3
1.263904810E-1,5.039634649E-3,-1.069013379E-3,1.069013379E-3,5.261510867E-3
1.285455850E-1,3.817904973E-3,-2.290742937E-3,1.069013379E-3,4.578939964E-3
1.307006900E-1,3.817904973E-3,1.374445739E-3,-1.527161949E-4,4.060643017E-3
1.328557940E-1,2.596175298E-3,1.374445739E-3,-1.527161949E-4,2.941521631E-3
1.350108980E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
1.371660020E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
1.393211060E-1,1.527161949E-4,7.483093534E-3,-1.527161949E-4,7.486209542E-3
1.414762100E-1,1.527161949E-4,1.527161949E-4,-1.527161949E-4,2.645122086E-4
1.436313150E-1,-3.512472380E-3,2.596175298E-3,1.069013379E-3,4.496707462E-3
1.457864190E-1,-3.512472380E-3,1.527161949E-4,-1.527161949E-4,3.519105951E-3
1.479415750E-1,-2.290742937E-3,1.374445739E-3,-1.527161949E-4,2.675803904E-3
1.500966270E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
1.522517310E-1,-3.512472380E-3,-2.290742937E-3,-1.527161949E-4,4.196223023E-3
1.544068350E-1,1.527161949E-4,-1.069013379E-3,1.069013379E-3,1.519506974E-3
1.565619920E-1,-1.069013379E-3,-2.290742937E-3,-1.527161949E-4,2.532511608E-3
1.587170960E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
1.608722000E-1,1.527161949E-4,-1.069013379E-3,-1.527161949E-4,1.090611790E-3
1.630273040E-1,1.374445739E-3,-2.290742937E-3,1.069013379E-3,2.877393595E-3
1.651824080E-1,1.527161949E-4,1.374445739E-3,1.069013379E-3,1.747916740E-3
1.673375120E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
1.694926170E-1,6.261364091E-3,8.704823442E-3,-1.527161949E-4,1.072389638E-2
1.716477210E-1,3.817904973E-3,5.039634649E-3,-1.527161949E-4,6.324368586E-3
1.738028250E-1,3.817904973E-3,3.817904973E-3,1.069013379E-3,5.504142656E-3
1.759579290E-1,3.817904973E-3,1.374445739E-3,-1.527161949E-4,4.060643017E-3
1.781130330E-1,2.596175298E-3,1.527161949E-4,-1.527161949E-4,2.605143115E-3
1.802681370E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
1.824232420E-1,-2.290742937E-3,1.527161949E-4,1.069013379E-3,2.532511608E-3
1.845783460E-1,-2.290742937E-3,1.527161949E-4,1.069013379E-3,2.532511608E-3
1.867334500E-1,-3.512472380E-3,1.527161949E-4,-1.527161949E-4,3.519105951E-3
1.888885540E-1,-2.290742937E-3,1.374445739E-3,1.069013379E-3,2.877393595E-3
