"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.166568800E-2,8.704823442E-3,-1.893680729E-2,-6.108647794E-4,2.085065412E-2
2.382094800E-2,2.596175298E-3,-1.527161989E-2,-6.108647794E-4,1.550276285E-2
2.597620900E-2,-2.290742937E-3,-6.719512399E-3,-6.108647794E-4,7.125482852E-3
2.813146900E-2,-7.177661173E-3,6.108647794E-4,-6.108647794E-4,7.229462737E-3
3.028673000E-2,-1.328630932E-2,5.497782957E-3,6.108647794E-4,1.439183062E-2
3.244199000E-2,-1.450803876E-2,1.832594397E-3,-6.108647794E-4,1.463607689E-2
3.459730200E-2,-9.621120058E-3,5.497782957E-3,6.108647794E-4,1.109796037E-2
3.675256300E-2,-8.399390616E-3,-1.832594397E-3,-6.108647794E-4,8.618661190E-3
3.890782300E-2,-3.512472380E-3,-5.497782957E-3,-6.108647794E-4,6.552574718E-3
4.106313600E-2,-2.290742937E-3,-1.282816008E-2,-6.108647794E-4,1.304539574E-2
4.321839600E-2,1.527161949E-4,-1.404988952E-2,6.108647794E-4,1.406399209E-2
4.537365700E-2,2.596175298E-3,-1.649334840E-2,6.108647794E-4,1.670759778E-2
4.752891700E-2,5.039634649E-3,-1.649334840E-2,6.108647794E-4,1.725692947E-2
4.968423000E-2,5.039634649E-3,-1.404988952E-2,6.108647794E-4,1.493889115E-2
5.183949000E-2,9.926552884E-3,-1.160643063E-2,6.108647794E-4,1.528459486E-2
5.399475000E-2,9.926552884E-3,-1.160643063E-2,-6.108647794E-4,1.528459486E-2
5.615001100E-2,1.359174121E-2,-6.719512399E-3,6.108647794E-4,1.517433464E-2
5.830532300E-2,1.237001177E-2,-3.054323839E-3,6.108647794E-4,1.275614523E-2
6.046058400E-2,1.114828233E-2,-6.108647794E-4,-6.108647794E-4,1.118170427E-2
6.261584400E-2,7.483093534E-3,3.054323839E-3,-6.108647794E-4,8.105475848E-3
6.477110500E-2,5.039634649E-3,6.719512399E-3,-6.108647794E-4,8.421574678E-3
6.692641700E-2,-2.290742937E-3,5.497782957E-3,6.108647794E-4,5.987175997E-3
6.908167700E-2,-4.734201822E-3,3.054323839E-3,6.108647794E-4,5.666984806E-3
7.123699000E-2,-8.399390616E-3,6.108647794E-4,-6.108647794E-4,8.443700271E-3
7.339225000E-2,-7.177661173E-3,-5.497782957E-3,-1.832594397E-3,9.225120031E-3
7.554751100E-2,-9.621120058E-3,-7.941242307E-3,-6.108647794E-4,1.249009353E-2
7.770277100E-2,-5.955931731E-3,-1.282816008E-2,-6.108647794E-4,1.415655218E-2
7.985803200E-2,-4.734201822E-3,-1.893680729E-2,-1.832594397E-3,1.960545178E-2
8.201334400E-2,-1.069013379E-3,-1.771507785E-2,-6.108647794E-4,1.775781317E-2
8.416860500E-2,1.374445739E-3,-2.015853859E-2,-6.108647794E-4,2.021457235E-2
8.632386500E-2,2.596175298E-3,-1.527161989E-2,6.108647794E-4,1.550276285E-2
8.847912500E-2,3.817904973E-3,-1.160643063E-2,-6.108647794E-4,1.223351079E-2
9.063443800E-2,7.483093534E-3,-9.162971750E-3,-6.108647794E-4,1.184609201E-2
9.278969800E-2,7.483093534E-3,-5.497782957E-3,-6.108647794E-4,9.305668275E-3
9.494495900E-2,6.261364091E-3,6.108647794E-4,6.108647794E-4,6.320679698E-3
9.710021900E-2,3.817904973E-3,7.941242307E-3,1.832594397E-3,8.999896110E-3
9.925548000E-2,5.039634649E-3,5.497782957E-3,-6.108647794E-4,7.483093652E-3
